titulo_original;anio;duracion;pais;direccion;guion;reparto;genero;sinopsis;url_imagen;puntuacion;votos;url;imdb_url;imdb_puntuacion;imdb_votos;presupuesto_millones;recaudacion_domestica_millones;recaudacion_mundial_millones;estreno_millones;roi;exito_comercial;porcentaje_domestico;multiplicador_taquilla;puntuacion_imdb_num;diferencia_puntuaciones;puntuacion_promedio;es_usa;genero_principal;duracion_minutos
Superman II;1980;127 min.;Estados Unidos;Richard Lester;Mario Puzo, David Newman, Leslie Newman, Joe Shuster, Jerry Siegel;Christopher Reeve, Margot Kidder, Gene Hackman, Terence Stamp, Sarah Douglas, Jack O'Halloran, Ned Beatty, Jackie Cooper, Valerie Perrine, Susannah York, E.G. Marshall, Clifton James, Marc McClure;Ciencia ficción;Tres criminales procedentes del planeta Krypton, a los que el padre de Superman condenó a vagar por el espacio, eluden su condena y llegan a la Tierra para enfrentarse a Superman en una batalla cósmica por la supremacía sobre el planeta. El superhéroe sigue ocultando su identidad tras la tímida personalidad del reportero Clark Kent, aunque su novia Lois Lane empieza a sospechar algo. (FILMAFFINITY);https://pics.filmaffinity.com/superman_ii-768801271-large.jpg;6.1;17898;https://www.filmaffinity.com/es/film209211.html;https://www.imdb.com/title/tt0081573/?ref_=fn_ttl_ttl_1;6.8;119000.0;54.0;108.19;216.39;14.1;4.007222222222222;1.0;49.99768935717917;15.346808510638297;6.8;0.7000000000000002;6.449999999999999;1;Ciencia ficción;127.0
Pepi, Luci, Bom y otras chicas del montón;1980;80 min.;España;Pedro Almodóvar;Pedro Almodóvar;"Carmen Maura, Olvido Gara ""Alaska"", Eva Siva, Kiti Mánver, Cecilia Roth, Julieta Serrano, Félix Rotaeta, Ricardo Franco, Concha Grégori, Pedro Almodóvar, Cristina Sánchez Pascual, José Luis Aguirre, Carlos Tristancho";Comedia;"Luci, un ama de casa abnegada, Pepi, su vecina ""moderna"", y Bom, una rockera diabólica forman un trío disparatado que vive al ritmo desacompasado de La Movida. La violación de Pepi modifica el destino de todos los personajes... (FILMAFFINITY)";https://pics.filmaffinity.com/pepi_luci_bom_y_otras_chicas_del_monton-653009026-large.jpg;5.4;14146;https://www.filmaffinity.com/es/film841136.html;https://www.imdb.com/title/tt0081323/?ref_=fn_ttl_ttl_1;6.1;6500.0;6.0;;0.0;;0.0;0.0;;;6.1;0.6999999999999993;5.75;0;Comedia;80.0
Cannibal Holocaust;1980;98 min.;Italia;Ruggero Deodato;Gianfranco Clerici;Robert Kerman, Francesca Ciardi, Luca Barbareschi, Salvatore Basile, Perry Pirkanen, Carl Gabriel Yorke, Ricardo Fuentes;Terror;"Cuatro jóvenes documentalistas se adentran en la selva amazónica, en pleno corazón de América del Sur, para realizar un reportaje sobre las tribus que habitan en esa región, de las que se dice que todavía practican el canibalismo. Debido a la desaparición de los reporteros, dos meses después un grupo de rescate es enviado para averiguar qué ha sido de ellos; lo único que encuentran es el material filmado sobre su terrible fin. (FILMAFFINITY)";https://pics.filmaffinity.com/cannibal_holocaust-205137701-large.jpg;4.7;13696;https://www.filmaffinity.com/es/film699569.html;https://www.imdb.com/title/tt0078935/?ref_=fn_ttl_ttl_1;5.8;64000.0;0.1;;;;;;;;5.8;1.0999999999999996;5.25;0;Terror;98.0
Brubaker;1980;132 min.;Estados Unidos;Stuart Rosenberg;W.D. Richter;Robert Redford, Yaphet Kotto, Jane Alexander, Morgan Freeman, David Keith, Murray Hamilton, Wilford Brimley, M. Emmet Walsh, Matt Clark, Tim McIntire, Richard Ward, Jon Van Ness, Albert Salmi;Drama;Drama basado en la historia real de Tom Murtom, el director de prisiones que conmocionó el mundo político de Arkansas al destapar los escandalosos abusos y asesinatos que tuvieron lugar en la prisión estatal. Año 1969. Antes de presentarse como el nuevo alcaide, Brubaker (Redford) se hace pasar por un preso recién llegado, gracias a lo cual descubre que la situación en la cárcel es de corrupción endémica. Sus esfuerzos por reformar y sanear el sistema lo colocan en una situación muy peligrosa, sobre todo cuando insiste en investigar una serie de asesinatos que se cometieron unos años antes. (FILMAFFINITY);https://pics.filmaffinity.com/brubaker-693802582-large.jpg;7.3;10657;https://www.filmaffinity.com/es/film268075.html;https://www.imdb.com/title/tt0080474/?ref_=fn_ttl_ttl_1;7.1;20000.0;7.0;37.12;37.12;2.75;5.3028571428571425;1.0;100.0;13.498181818181818;7.1;0.20000000000000018;7.199999999999999;1;Drama;132.0
The Gods Must Be Crazy;1980;109 min.;Botswana;Jamie Uys;Jamie Uys;N!Xau, Marius Weyers, Sandra Prinsloo, Nic de Jager, Louw Verwey, Michael Thys, Brian O'Shaughnessy, Ken Gampu, Fanyana H. Sidumo, Jamie Uys;Comedia;Una botella de cristal de Coca-Cola llega a parar a una tribu africana y los miembros de la misma la reciben con alegría creyendo que es un regalo de los dioses, pero tarde o temprano, la susodicha botella comienza a traer problemas entre ellos por lo que deciden deshacerse del vil objeto. Xixo, uno de los miembros de la tribu, inicia un viaje a través de la sabana para arrojar la botella por las cataratas. Mientras tanto, Andrew Steyn, un biólogo de la zona intentará conquistar a Kate, una profesora que imparte clase en Bostwana. Ambos se verán inmersos en el conflicto bélico-político del momento y convivirán a duras penas, en el desierto del Kalahari. (FILMAFFINITY);https://pics.filmaffinity.com/the_gods_must_be_crazy-919323264-large.jpg;6.6;10035;https://www.filmaffinity.com/es/film774369.html;https://www.imdb.com/title/tt0080801/?ref_=fn_ttl_ttl_1;7.3;61000.0;5.0;30.03;30.03;;6.006;1.0;100.0;;7.3;0.7000000000000002;6.949999999999999;0;Comedia;109.0
Ordinary People;1980;123 min.;Estados Unidos;Robert Redford;Alvin Sargent, Judith Guest;Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton, M. Emmet Walsh, Elizabeth McGovern, Dinah Manoff, James B. Sikking;Drama;Conrad acaba de salir del hospital después de haber intentado suicidarse a raíz de la muerte de su hermano en un accidente. Mantiene una relación muy tensa con su madre y vive atormentado por sentimientos de culpa. Aunque visita todas las semanas a un psiquiatra, no se siente a gusto hasta que conoce a una compañera del coro y empiezan a salir juntos. (FILMAFFINITY);https://pics.filmaffinity.com/ordinary_people-254888544-large.jpg;7.2;9620;https://www.filmaffinity.com/es/film637558.html;https://www.imdb.com/title/tt0081283/?ref_=fn_ttl_ttl_1;7.7;59000.0;6.0;54.77;54.77;0.17;9.128333333333334;1.0;100.0;322.1764705882353;7.7;0.5;7.45;1;Drama;123.0
The Fog;1980;89 min.;Estados Unidos;John Carpenter;John Carpenter, Debra Hill;Adrienne Barbeau, Tom Atkins, Jamie Lee Curtis, Hal Holbrook, Janet Leigh, Charles Cyphers, Nancy Loomis, Ty Mitchell, John Houseman;Terror;En la costa de California se alza el pintoresco centro turístico de Antonio Bay. Mientras sus residentes se preparan para las celebraciones del centenario de la ciudad, la tripulación de un viejo barco aparece brutalmente asesinada. Al mismo tiempo, en el mar, una misteriosa niebla que oculta un mortífero secreto comienza a desplazarse inexorablemente cada noche hacia la costa. Según una leyenda local, estos extraños sucesos están aparentemente relacionados con un terrible acontecimiento sucedido hace cien años. A medida que se aproxima el día del centenario el horror se acerca a su clímax. (FILMAFFINITY);https://pics.filmaffinity.com/the_fog-161860086-large.jpg;6.2;9058;https://www.filmaffinity.com/es/film701969.html;https://www.imdb.com/title/tt0080749/?ref_=fn_ttl_ttl_1;6.8;88000.0;1.1;21.45;21.45;0.04;19.499999999999996;1.0;100.0;536.25;6.8;0.5999999999999996;6.5;1;Terror;89.0
Dressed to Kill;1980;105 min.;Estados Unidos;Brian De Palma;Brian De Palma;Michael Caine, Angie Dickinson, Nancy Allen, Keith Gordon, Dennis Franz, David Margulies;Intriga;Kate Miller (Angie Dickinson), una mujer con problemas, acude a la consulta del psiquiatra Robert Elliott (Michael Caine) para recibir consejo profesional. Después tiene un fortuito y emocionante encuentro en un taxi con un desconocido, con quien ya había coincidido en otro lugar. (FILMAFFINITY);https://pics.filmaffinity.com/dressed_to_kill-394384820-large.jpg;6.7;9008;https://www.filmaffinity.com/es/film830641.html;https://www.imdb.com/title/tt0080661/?ref_=fn_ttl_ttl_1;7.1;53000.0;6.5;31.9;31.9;;4.907692307692307;1.0;100.0;;7.1;0.39999999999999947;6.9;1;Intriga;105.0
Kagemusha;1980;180 min.;Japón;Akira Kurosawa;Akira Kurosawa, Masato Ide;Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara, Daisuke Ryû, Masayuki Yui, Jinpachi Nezu, Hideji Ôtaki, Kaori Momoi, Mitsuko Baisho, Hideo Murota, Takayuki Shiho, Kôji Shimizu, Noboru Shimizu;Drama;En el Japón medieval, devastado por las guerras feudales, un vulgar ladrón es elegido para sustituir a un poderoso señor de la guerra, que acaba de morir. (FILMAFFINITY);https://pics.filmaffinity.com/kagemusha-551101666-large.jpg;7.8;8796;https://www.filmaffinity.com/es/film532261.html;https://www.imdb.com/title/tt0080979/?ref_=fn_ttl_ttl_1;7.9;40000.0;6.0;4.0;4.02;;0.6699999999999999;0.0;99.50248756218907;;7.9;0.10000000000000053;7.85;0;Drama;180.0
Flash Gordon;1980;110 min.;Reino Unido;Mike Hodges;Lorenzo Semple Jr., Alex Raymond;Sam J. Jones, Melody Anderson, Max von Sydow, Topol, Ornella Muti, Timothy Dalton, Richard O'Brien, Philip Stone, Brian Blessed, Peter Wyngarde, Mariangela Melato, George Harris, John Osborne, Ted Carroll, John Hallam;Fantástico;El doctor Zarkov, un científico expulsado de la NASA, viaja en un cohete espacial con el joven jugador de rugby Flash Gordon y su amiga Dale Arden. Los tres intentarán salvar al planeta de la amenaza de Ming, el emperador del lejano reino Mongo, que ha lanzado una de sus lunas para que choque contra la Tierra. Adaptación al cine de un cómic de Alex Raymond. (FILMAFFINITY);https://pics.filmaffinity.com/flash_gordon-158541689-large.jpg;5.3;8008;https://www.filmaffinity.com/es/film468686.html;https://www.imdb.com/title/tt0080745/?ref_=fn_ttl_ttl_1;6.5;64000.0;20.0;27.11;27.19;3.93;1.3595000000000002;0.0;99.70577418168443;6.918575063613232;6.5;1.2000000000000002;5.9;0;Fantástico;110.0
